date,datetime,event_name
29.05.2025,2025-05-29 19:30:00,FALLING IN LOVE Grand Show 19:30:00
30.05.2025,2025-05-30 19:30:00,FALLING IN LOVE Grand Show 19:30:00
31.05.2025,2025-05-31 15:30:00,FALLING IN LOVE Grand Show 15:30:00
31.05.2025,2025-05-31 19:30:00,FALLING IN LOVE Grand Show 19:30:00
01.06.2025,2025-06-01 19:30:00,FALLING IN LOVE Grand Show 19:30:00
03.06.2025,2025-06-03 19:30:00,FALLING IN LOVE Grand Show 19:30:00
05.06.2025,2025-06-05 19:30:00,FALLING IN LOVE Grand Show 19:30:00
06.06.2025,2025-06-06 19:30:00,FALLING IN LOVE Grand Show 19:30:00
07.06.2025,2025-06-07 19:30:00,FALLING IN LOVE Grand Show 19:30:00
08.06.2025,2025-06-08 15:30:00,FALLING IN LOVE Grand Show 15:30:00
08.06.2025,2025-06-08 19:30:00,FALLING IN LOVE Grand Show 19:30:00
10.06.2025,2025-06-10 19:30:00,FALLING IN LOVE Grand Show 19:30:00
12.06.2025,2025-06-12 19:30:00,FALLING IN LOVE Grand Show 19:30:00
13.06.2025,2025-06-13 19:30:00,FALLING IN LOVE Grand Show 19:30:00
14.06.2025,2025-06-14 15:30:00,FALLING IN LOVE Grand Show 15:30:00
14.06.2025,2025-06-14 19:30:00,FALLING IN LOVE Grand Show 19:30:00
17.06.2025,2025-06-17 19:30:00,FALLING IN LOVE Grand Show 19:30:00
19.06.2025,2025-06-19 19:30:00,FALLING IN LOVE Grand Show 19:30:00
20.06.2025,2025-06-20 19:30:00,FALLING IN LOVE Grand Show 19:30:00
21.06.2025,2025-06-21 15:30:00,FALLING IN LOVE Grand Show 15:30:00
21.06.2025,2025-06-21 19:30:00,FALLING IN LOVE Grand Show 19:30:00
22.06.2025,2025-06-22 19:30:00,FALLING IN LOVE Grand Show 19:30:00
24.06.2025,2025-06-24 19:30:00,FALLING IN LOVE Grand Show 19:30:00
26.06.2025,2025-06-26 19:30:00,FALLING IN LOVE Grand Show 19:30:00
27.06.2025,2025-06-27 19:30:00,FALLING IN LOVE Grand Show 19:30:00
28.06.2025,2025-06-28 15:30:00,FALLING IN LOVE Grand Show 15:30:00
28.06.2025,2025-06-28 19:30:00,FALLING IN LOVE Grand Show 19:30:00
29.06.2025,2025-06-29 19:30:00,FALLING IN LOVE Grand Show 19:30:00
01.07.2025,2025-07-01 19:30:00,FALLING IN LOVE Grand Show 19:30:00
03.07.2025,2025-07-03 19:30:00,FALLING IN LOVE Grand Show 19:30:00
04.07.2025,2025-07-04 19:30:00,FALLING IN LOVE Grand Show 19:30:00
05.07.2025,2025-07-05 15:30:00,FALLING IN LOVE Grand Show 15:30:00
05.07.2025,2025-07-05 19:30:00,FALLING IN LOVE Grand Show 19:30:00
